cutoff	True.pos	False.pos	True.neg	False.neg	False.pos.rate	True.pos.rate
-0.5	1000	115	0	0	1	1
-0.495	1000	115	0	0	1	1
-0.49	1000	115	0	0	1	1
-0.485	1000	115	0	0	1	1
-0.48	1000	115	0	0	1	1
-0.475	1000	115	0	0	1	1
-0.47	1000	115	0	0	1	1
-0.465	1000	115	0	0	1	1
-0.46	1000	115	0	0	1	1
-0.455	1000	115	0	0	1	1
-0.45	1000	115	0	0	1	1
-0.445	1000	115	0	0	1	1
-0.44	1000	115	0	0	1	1
-0.435	1000	115	0	0	1	1
-0.43	1000	115	0	0	1	1
-0.425	1000	115	0	0	1	1
-0.42	1000	115	0	0	1	1
-0.415	1000	115	0	0	1	1
-0.41	1000	115	0	0	1	1
-0.405	1000	115	0	0	1	1
-0.4	1000	115	0	0	1	1
-0.395	1000	115	0	0	1	1
-0.39	1000	115	0	0	1	1
-0.385	1000	115	0	0	1	1
-0.38	1000	115	0	0	1	1
-0.375	1000	115	0	0	1	1
-0.37	1000	115	0	0	1	1
-0.365	1000	115	0	0	1	1
-0.36	1000	115	0	0	1	1
-0.355	1000	115	0	0	1	1
-0.35	1000	115	0	0	1	1
-0.345	1000	115	0	0	1	1
-0.34	1000	115	0	0	1	1
-0.335	1000	115	0	0	1	1
-0.33	1000	115	0	0	1	1
-0.325	1000	115	0	0	1	1
-0.32	1000	115	0	0	1	1
-0.315	1000	115	0	0	1	1
-0.31	1000	115	0	0	1	1
-0.305	1000	115	0	0	1	1
-0.3	1000	115	0	0	1	1
-0.295	1000	115	0	0	1	1
-0.29	1000	115	0	0	1	1
-0.285	1000	115	0	0	1	1
-0.28	1000	115	0	0	1	1
-0.275	1000	115	0	0	1	1
-0.27	1000	115	0	0	1	1
-0.265	1000	115	0	0	1	1
-0.26	1000	115	0	0	1	1
-0.255	1000	115	0	0	1	1
-0.25	1000	115	0	0	1	1
-0.245	1000	115	0	0	1	1
-0.24	1000	115	0	0	1	1
-0.235	1000	115	0	0	1	1
-0.23	1000	115	0	0	1	1
-0.225	1000	115	0	0	1	1
-0.22	1000	115	0	0	1	1
-0.215	1000	115	0	0	1	1
-0.21	1000	115	0	0	1	1
-0.205	1000	115	0	0	1	1
-0.2	1000	115	0	0	1	1
-0.195	1000	115	0	0	1	1
-0.19	1000	115	0	0	1	1
-0.185	1000	115	0	0	1	1
-0.18	1000	115	0	0	1	1
-0.175	1000	115	0	0	1	1
-0.17	1000	115	0	0	1	1
-0.165	1000	115	0	0	1	1
-0.16	1000	115	0	0	1	1
-0.155	1000	115	0	0	1	1
-0.15	1000	115	0	0	1	1
-0.145	1000	115	0	0	1	1
-0.14	1000	115	0	0	1	1
-0.135	1000	115	0	0	1	1
-0.13	1000	115	0	0	1	1
-0.125	1000	115	0	0	1	1
-0.12	1000	115	0	0	1	1
-0.115	1000	115	0	0	1	1
-0.11	1000	115	0	0	1	1
-0.105	1000	115	0	0	1	1
-0.1	1000	115	0	0	1	1
-0.095	1000	115	0	0	1	1
-0.09	1000	115	0	0	1	1
-0.085	1000	115	0	0	1	1
-0.08	1000	115	0	0	1	1
-0.075	1000	115	0	0	1	1
-0.07	1000	115	0	0	1	1
-0.065	1000	115	0	0	1	1
-0.06	1000	115	0	0	1	1
-0.055	1000	115	0	0	1	1
-0.05	1000	115	0	0	1	1
-0.045	1000	115	0	0	1	1
-0.04	1000	115	0	0	1	1
-0.035	1000	115	0	0	1	1
-0.03	1000	115	0	0	1	1
-0.025	1000	115	0	0	1	1
-0.02	1000	115	0	0	1	1
-0.015	1000	115	0	0	1	1
-0.01	1000	115	0	0	1	1
-0.005	1000	115	0	0	1	1
0	1000	115	0	0	1	1
0.005	1000	115	0	0	1	1
0.01	1000	115	0	0	1	1
0.015	1000	115	0	0	1	1
0.02	1000	114	1	0	0.991304347826087	1
0.025	1000	112	3	0	0.973913043478261	1
0.03	1000	108	7	0	0.939130434782609	1
0.035	1000	102	13	0	0.88695652173913	1
0.04	1000	99	16	0	0.860869565217391	1
0.045	1000	99	16	0	0.860869565217391	1
0.05	1000	98	17	0	0.852173913043478	1
0.055	1000	98	17	0	0.852173913043478	1
0.0600000000000001	1000	94	21	0	0.817391304347826	1
0.0650000000000001	1000	91	24	0	0.791304347826087	1
0.0700000000000001	1000	91	24	0	0.791304347826087	1
0.0750000000000001	1000	90	25	0	0.782608695652174	1
0.08	1000	89	26	0	0.773913043478261	1
0.085	1000	87	28	0	0.756521739130435	1
0.09	1000	84	31	0	0.730434782608696	1
0.095	1000	81	34	0	0.704347826086957	1
0.1	1000	80	35	0	0.695652173913043	1
0.105	1000	77	38	0	0.669565217391304	1
0.11	1000	76	39	0	0.660869565217391	1
0.115	1000	73	42	0	0.634782608695652	1
0.12	1000	72	43	0	0.626086956521739	1
0.125	1000	70	45	0	0.608695652173913	1
0.13	1000	68	47	0	0.591304347826087	1
0.135	1000	65	50	0	0.565217391304348	1
0.14	1000	63	52	0	0.547826086956522	1
0.145	1000	62	53	0	0.539130434782609	1
0.15	999	59	56	1	0.51304347826087	0.999
0.155	999	56	59	1	0.48695652173913	0.999
0.16	999	53	62	1	0.460869565217391	0.999
0.165	999	53	62	1	0.460869565217391	0.999
0.17	999	50	65	1	0.434782608695652	0.999
0.175	999	50	65	1	0.434782608695652	0.999
0.18	999	49	66	1	0.426086956521739	0.999
0.185	999	47	68	1	0.408695652173913	0.999
0.19	999	47	68	1	0.408695652173913	0.999
0.195	999	47	68	1	0.408695652173913	0.999
0.2	999	47	68	1	0.408695652173913	0.999
0.205	999	47	68	1	0.408695652173913	0.999
0.21	999	46	69	1	0.4	0.999
0.215	999	46	69	1	0.4	0.999
0.22	998	45	70	2	0.391304347826087	0.998
0.225	998	44	71	2	0.382608695652174	0.998
0.23	998	44	71	2	0.382608695652174	0.998
0.235	998	44	71	2	0.382608695652174	0.998
0.24	998	44	71	2	0.382608695652174	0.998
0.245	998	43	72	2	0.373913043478261	0.998
0.25	998	43	72	2	0.373913043478261	0.998
0.255	998	43	72	2	0.373913043478261	0.998
0.26	998	43	72	2	0.373913043478261	0.998
0.265	998	43	72	2	0.373913043478261	0.998
0.27	998	43	72	2	0.373913043478261	0.998
0.275	998	41	74	2	0.356521739130435	0.998
0.28	998	40	75	2	0.347826086956522	0.998
0.285	998	40	75	2	0.347826086956522	0.998
0.29	998	40	75	2	0.347826086956522	0.998
0.295	998	40	75	2	0.347826086956522	0.998
0.3	998	40	75	2	0.347826086956522	0.998
0.305	998	40	75	2	0.347826086956522	0.998
0.31	998	39	76	2	0.339130434782609	0.998
0.315	998	39	76	2	0.339130434782609	0.998
0.32	998	39	76	2	0.339130434782609	0.998
0.325	998	39	76	2	0.339130434782609	0.998
0.33	998	39	76	2	0.339130434782609	0.998
0.335	998	39	76	2	0.339130434782609	0.998
0.34	998	39	76	2	0.339130434782609	0.998
0.345	998	39	76	2	0.339130434782609	0.998
0.35	997	33	82	3	0.28695652173913	0.997
0.355	997	33	82	3	0.28695652173913	0.997
0.36	997	33	82	3	0.28695652173913	0.997
0.365	997	33	82	3	0.28695652173913	0.997
0.37	997	32	83	3	0.278260869565217	0.997
0.375	997	31	84	3	0.269565217391304	0.997
0.38	997	29	86	3	0.252173913043478	0.997
0.385	997	27	88	3	0.234782608695652	0.997
0.39	997	27	88	3	0.234782608695652	0.997
0.395	997	24	91	3	0.208695652173913	0.997
0.4	997	23	92	3	0.2	0.997
0.405	997	22	93	3	0.191304347826087	0.997
0.41	997	20	95	3	0.173913043478261	0.997
0.415	997	18	97	3	0.156521739130435	0.997
0.42	997	17	98	3	0.147826086956522	0.997
0.425	997	16	99	3	0.139130434782609	0.997
0.43	997	16	99	3	0.139130434782609	0.997
0.435	997	14	101	3	0.121739130434783	0.997
0.44	997	14	101	3	0.121739130434783	0.997
0.445	997	14	101	3	0.121739130434783	0.997
0.45	997	14	101	3	0.121739130434783	0.997
0.455	997	14	101	3	0.121739130434783	0.997
0.46	997	13	102	3	0.11304347826087	0.997
0.465	996	13	102	4	0.11304347826087	0.996
0.47	996	12	103	4	0.104347826086957	0.996
0.475	996	11	104	4	0.0956521739130435	0.996
0.48	996	9	106	4	0.0782608695652174	0.996
0.485	996	7	108	4	0.0608695652173913	0.996
0.49	996	5	110	4	0.0434782608695652	0.996
0.495	994	5	110	6	0.0434782608695652	0.994
0.5	994	2	113	6	0.0173913043478261	0.994
0.505	994	2	113	6	0.0173913043478261	0.994
0.51	994	1	114	6	0.00869565217391304	0.994
0.515	994	1	114	6	0.00869565217391304	0.994
0.52	994	1	114	6	0.00869565217391304	0.994
0.525	994	0	115	6	0	0.994
0.53	994	0	115	6	0	0.994
0.535	994	0	115	6	0	0.994
0.54	994	0	115	6	0	0.994
0.545	994	0	115	6	0	0.994
0.55	993	0	115	7	0	0.993
0.555	991	0	115	9	0	0.991
0.56	991	0	115	9	0	0.991
0.565	991	0	115	9	0	0.991
0.57	988	0	115	12	0	0.988
0.575	988	0	115	12	0	0.988
0.58	987	0	115	13	0	0.987
0.585	986	0	115	14	0	0.986
0.59	986	0	115	14	0	0.986
0.595	986	0	115	14	0	0.986
0.6	986	0	115	14	0	0.986
0.605	986	0	115	14	0	0.986
0.61	985	0	115	15	0	0.985
0.615	983	0	115	17	0	0.983
0.62	983	0	115	17	0	0.983
0.625	983	0	115	17	0	0.983
0.63	983	0	115	17	0	0.983
0.635	982	0	115	18	0	0.982
0.64	981	0	115	19	0	0.981
0.645	980	0	115	20	0	0.98
0.65	979	0	115	21	0	0.979
0.655	978	0	115	22	0	0.978
0.66	975	0	115	25	0	0.975
0.665	975	0	115	25	0	0.975
0.67	975	0	115	25	0	0.975
0.675	975	0	115	25	0	0.975
0.68	973	0	115	27	0	0.973
0.685	972	0	115	28	0	0.972
0.69	969	0	115	31	0	0.969
0.695	969	0	115	31	0	0.969
0.7	965	0	115	35	0	0.965
0.705	965	0	115	35	0	0.965
0.71	965	0	115	35	0	0.965
0.715	962	0	115	38	0	0.962
0.72	962	0	115	38	0	0.962
0.725	961	0	115	39	0	0.961
0.73	954	0	115	46	0	0.954
0.735	949	0	115	51	0	0.949
0.74	945	0	115	55	0	0.945
0.745	942	0	115	58	0	0.942
0.75	938	0	115	62	0	0.938
0.755	938	0	115	62	0	0.938
0.76	932	0	115	68	0	0.932
0.765	930	0	115	70	0	0.93
0.77	928	0	115	72	0	0.928
0.775	923	0	115	77	0	0.923
0.78	920	0	115	80	0	0.92
0.785	919	0	115	81	0	0.919
0.79	915	0	115	85	0	0.915
0.795	911	0	115	89	0	0.911
0.8	906	0	115	94	0	0.906
0.805	903	0	115	97	0	0.903
0.81	898	0	115	102	0	0.898
0.815	896	0	115	104	0	0.896
0.82	894	0	115	106	0	0.894
0.825	892	0	115	108	0	0.892
0.83	885	0	115	115	0	0.885
0.835	879	0	115	121	0	0.879
0.84	877	0	115	123	0	0.877
0.845	868	0	115	132	0	0.868
0.85	862	0	115	138	0	0.862
0.855	857	0	115	143	0	0.857
0.86	851	0	115	149	0	0.851
0.865	846	0	115	154	0	0.846
0.87	832	0	115	168	0	0.832
0.875	819	0	115	181	0	0.819
0.88	807	0	115	193	0	0.807
0.885	801	0	115	199	0	0.801
0.89	794	0	115	206	0	0.794
0.895	785	0	115	215	0	0.785
0.9	780	0	115	220	0	0.78
0.905	768	0	115	232	0	0.768
0.91	759	0	115	241	0	0.759
0.915	747	0	115	253	0	0.747
0.92	742	0	115	258	0	0.742
0.925	734	0	115	266	0	0.734
0.93	720	0	115	280	0	0.72
0.935	709	0	115	291	0	0.709
0.94	701	0	115	299	0	0.701
0.945	681	0	115	319	0	0.681
0.95	664	0	115	336	0	0.664
0.955	648	0	115	352	0	0.648
0.96	637	0	115	363	0	0.637
0.965	624	0	115	376	0	0.624
0.97	604	0	115	396	0	0.604
0.975	587	0	115	413	0	0.587
0.98	566	0	115	434	0	0.566
0.985	549	0	115	451	0	0.549
0.99	534	0	115	466	0	0.534
0.995	514	0	115	486	0	0.514
1	492	0	115	508	0	0.492
1.005	473	0	115	527	0	0.473
1.01	450	0	115	550	0	0.45
1.015	439	0	115	561	0	0.439
1.02	426	0	115	574	0	0.426
1.025	400	0	115	600	0	0.4
1.03	384	0	115	616	0	0.384
1.035	364	0	115	636	0	0.364
1.04	333	0	115	667	0	0.333
1.045	314	0	115	686	0	0.314
1.05	298	0	115	702	0	0.298
1.055	276	0	115	724	0	0.276
1.06	259	0	115	741	0	0.259
1.065	240	0	115	760	0	0.24
1.07	221	0	115	779	0	0.221
1.075	210	0	115	790	0	0.21
1.08	193	0	115	807	0	0.193
1.085	175	0	115	825	0	0.175
1.09	153	0	115	847	0	0.153
1.095	133	0	115	867	0	0.133
1.1	114	0	115	886	0	0.114
1.105	108	0	115	892	0	0.108
1.11	95	0	115	905	0	0.095
1.115	82	0	115	918	0	0.082
1.12	78	0	115	922	0	0.078
1.125	64	0	115	936	0	0.064
1.13	57	0	115	943	0	0.057
1.135	46	0	115	954	0	0.046
1.14	39	0	115	961	0	0.039
1.145	33	0	115	967	0	0.033
1.15	28	0	115	972	0	0.028
1.155	26	0	115	974	0	0.026
1.16	24	0	115	976	0	0.024
1.165	20	0	115	980	0	0.02
1.17	15	0	115	985	0	0.015
1.175	12	0	115	988	0	0.012
1.18	9	0	115	991	0	0.009
1.185	7	0	115	993	0	0.007
1.19	4	0	115	996	0	0.004
1.195	4	0	115	996	0	0.004
