cutoff	True.pos	False.pos	True.neg	False.neg	False.pos.rate	True.pos.rate
-0.5	1000	500	0	0	1	1
-0.495	1000	500	0	0	1	1
-0.49	1000	500	0	0	1	1
-0.485	1000	500	0	0	1	1
-0.48	1000	500	0	0	1	1
-0.475	1000	500	0	0	1	1
-0.47	1000	500	0	0	1	1
-0.465	1000	500	0	0	1	1
-0.46	1000	500	0	0	1	1
-0.455	1000	500	0	0	1	1
-0.45	1000	500	0	0	1	1
-0.445	1000	500	0	0	1	1
-0.44	1000	500	0	0	1	1
-0.435	1000	500	0	0	1	1
-0.43	1000	500	0	0	1	1
-0.425	1000	500	0	0	1	1
-0.42	1000	500	0	0	1	1
-0.415	1000	500	0	0	1	1
-0.41	1000	500	0	0	1	1
-0.405	1000	500	0	0	1	1
-0.4	1000	500	0	0	1	1
-0.395	1000	500	0	0	1	1
-0.39	1000	500	0	0	1	1
-0.385	1000	500	0	0	1	1
-0.38	1000	500	0	0	1	1
-0.375	1000	500	0	0	1	1
-0.37	1000	500	0	0	1	1
-0.365	1000	500	0	0	1	1
-0.36	1000	500	0	0	1	1
-0.355	1000	500	0	0	1	1
-0.35	1000	500	0	0	1	1
-0.345	1000	500	0	0	1	1
-0.34	1000	500	0	0	1	1
-0.335	1000	500	0	0	1	1
-0.33	1000	500	0	0	1	1
-0.325	1000	500	0	0	1	1
-0.32	1000	500	0	0	1	1
-0.315	1000	500	0	0	1	1
-0.31	1000	500	0	0	1	1
-0.305	1000	500	0	0	1	1
-0.3	1000	500	0	0	1	1
-0.295	1000	500	0	0	1	1
-0.29	1000	500	0	0	1	1
-0.285	1000	500	0	0	1	1
-0.28	1000	500	0	0	1	1
-0.275	1000	500	0	0	1	1
-0.27	1000	500	0	0	1	1
-0.265	1000	500	0	0	1	1
-0.26	1000	500	0	0	1	1
-0.255	1000	500	0	0	1	1
-0.25	1000	500	0	0	1	1
-0.245	1000	500	0	0	1	1
-0.24	1000	500	0	0	1	1
-0.235	1000	500	0	0	1	1
-0.23	1000	500	0	0	1	1
-0.225	1000	500	0	0	1	1
-0.22	1000	500	0	0	1	1
-0.215	1000	500	0	0	1	1
-0.21	1000	500	0	0	1	1
-0.205	1000	500	0	0	1	1
-0.2	1000	500	0	0	1	1
-0.195	1000	500	0	0	1	1
-0.19	1000	500	0	0	1	1
-0.185	1000	500	0	0	1	1
-0.18	1000	500	0	0	1	1
-0.175	1000	500	0	0	1	1
-0.17	1000	500	0	0	1	1
-0.165	1000	500	0	0	1	1
-0.16	1000	500	0	0	1	1
-0.155	1000	500	0	0	1	1
-0.15	1000	500	0	0	1	1
-0.145	1000	500	0	0	1	1
-0.14	1000	500	0	0	1	1
-0.135	1000	500	0	0	1	1
-0.13	1000	500	0	0	1	1
-0.125	1000	500	0	0	1	1
-0.12	1000	500	0	0	1	1
-0.115	1000	500	0	0	1	1
-0.11	1000	500	0	0	1	1
-0.105	1000	500	0	0	1	1
-0.1	1000	500	0	0	1	1
-0.095	1000	500	0	0	1	1
-0.09	1000	500	0	0	1	1
-0.085	1000	500	0	0	1	1
-0.08	1000	500	0	0	1	1
-0.075	1000	500	0	0	1	1
-0.07	1000	500	0	0	1	1
-0.065	1000	500	0	0	1	1
-0.06	1000	500	0	0	1	1
-0.055	1000	500	0	0	1	1
-0.05	1000	500	0	0	1	1
-0.045	1000	500	0	0	1	1
-0.04	1000	500	0	0	1	1
-0.035	1000	500	0	0	1	1
-0.03	1000	500	0	0	1	1
-0.025	1000	500	0	0	1	1
-0.02	1000	500	0	0	1	1
-0.015	1000	500	0	0	1	1
-0.01	1000	500	0	0	1	1
-0.005	1000	500	0	0	1	1
0	1000	500	0	0	1	1
0.005	1000	500	0	0	1	1
0.01	1000	285	215	0	0.57	1
0.015	1000	283	217	0	0.566	1
0.02	1000	277	223	0	0.554	1
0.025	1000	271	229	0	0.542	1
0.03	1000	268	232	0	0.536	1
0.035	1000	263	237	0	0.526	1
0.04	1000	259	241	0	0.518	1
0.045	1000	253	247	0	0.506	1
0.05	1000	249	251	0	0.498	1
0.055	1000	245	255	0	0.49	1
0.0600000000000001	1000	242	258	0	0.484	1
0.0650000000000001	1000	235	265	0	0.47	1
0.0700000000000001	1000	230	270	0	0.46	1
0.0750000000000001	1000	227	273	0	0.454	1
0.08	999	222	278	1	0.444	0.999
0.085	999	219	281	1	0.438	0.999
0.09	999	216	284	1	0.432	0.999
0.095	999	213	287	1	0.426	0.999
0.1	999	211	289	1	0.422	0.999
0.105	999	205	295	1	0.41	0.999
0.11	998	199	301	2	0.398	0.998
0.115	998	193	307	2	0.386	0.998
0.12	998	189	311	2	0.378	0.998
0.125	998	186	314	2	0.372	0.998
0.13	998	180	320	2	0.36	0.998
0.135	998	176	324	2	0.352	0.998
0.14	997	64	436	3	0.128	0.997
0.145	997	60	440	3	0.12	0.997
0.15	997	54	446	3	0.108	0.997
0.155	997	50	450	3	0.1	0.997
0.16	997	47	453	3	0.094	0.997
0.165	997	44	456	3	0.088	0.997
0.17	997	43	457	3	0.086	0.997
0.175	997	43	457	3	0.086	0.997
0.18	997	43	457	3	0.086	0.997
0.185	997	41	459	3	0.082	0.997
0.19	997	40	460	3	0.08	0.997
0.195	997	40	460	3	0.08	0.997
0.2	997	39	461	3	0.078	0.997
0.205	997	36	464	3	0.072	0.997
0.21	996	35	465	4	0.07	0.996
0.215	996	35	465	4	0.07	0.996
0.22	996	34	466	4	0.068	0.996
0.225	996	34	466	4	0.068	0.996
0.23	996	34	466	4	0.068	0.996
0.235	996	33	467	4	0.066	0.996
0.24	996	33	467	4	0.066	0.996
0.245	995	30	470	5	0.06	0.995
0.25	995	29	471	5	0.058	0.995
0.255	995	26	474	5	0.052	0.995
0.26	995	20	480	5	0.04	0.995
0.265	995	17	483	5	0.034	0.995
0.27	995	15	485	5	0.03	0.995
0.275	995	13	487	5	0.026	0.995
0.28	995	9	491	5	0.018	0.995
0.285	995	6	494	5	0.012	0.995
0.29	995	2	498	5	0.004	0.995
0.295	995	0	500	5	0	0.995
0.3	995	0	500	5	0	0.995
0.305	995	0	500	5	0	0.995
0.31	995	0	500	5	0	0.995
0.315	995	0	500	5	0	0.995
0.32	995	0	500	5	0	0.995
0.325	995	0	500	5	0	0.995
0.33	995	0	500	5	0	0.995
0.335	994	0	500	6	0	0.994
0.34	994	0	500	6	0	0.994
0.345	994	0	500	6	0	0.994
0.35	993	0	500	7	0	0.993
0.355	993	0	500	7	0	0.993
0.36	993	0	500	7	0	0.993
0.365	992	0	500	8	0	0.992
0.37	992	0	500	8	0	0.992
0.375	992	0	500	8	0	0.992
0.38	992	0	500	8	0	0.992
0.385	992	0	500	8	0	0.992
0.39	992	0	500	8	0	0.992
0.395	991	0	500	9	0	0.991
0.4	991	0	500	9	0	0.991
0.405	990	0	500	10	0	0.99
0.41	990	0	500	10	0	0.99
0.415	990	0	500	10	0	0.99
0.42	986	0	500	14	0	0.986
0.425	985	0	500	15	0	0.985
0.43	985	0	500	15	0	0.985
0.435	984	0	500	16	0	0.984
0.44	982	0	500	18	0	0.982
0.445	980	0	500	20	0	0.98
0.45	980	0	500	20	0	0.98
0.455	980	0	500	20	0	0.98
0.46	980	0	500	20	0	0.98
0.465	979	0	500	21	0	0.979
0.47	976	0	500	24	0	0.976
0.475	975	0	500	25	0	0.975
0.48	975	0	500	25	0	0.975
0.485	975	0	500	25	0	0.975
0.49	974	0	500	26	0	0.974
0.495	973	0	500	27	0	0.973
0.5	972	0	500	28	0	0.972
0.505	969	0	500	31	0	0.969
0.51	968	0	500	32	0	0.968
0.515	968	0	500	32	0	0.968
0.52	966	0	500	34	0	0.966
0.525	965	0	500	35	0	0.965
0.53	965	0	500	35	0	0.965
0.535	965	0	500	35	0	0.965
0.54	963	0	500	37	0	0.963
0.545	963	0	500	37	0	0.963
0.55	962	0	500	38	0	0.962
0.555	959	0	500	41	0	0.959
0.56	957	0	500	43	0	0.957
0.565	955	0	500	45	0	0.955
0.57	953	0	500	47	0	0.953
0.575	953	0	500	47	0	0.953
0.58	953	0	500	47	0	0.953
0.585	951	0	500	49	0	0.951
0.59	950	0	500	50	0	0.95
0.595	946	0	500	54	0	0.946
0.6	946	0	500	54	0	0.946
0.605	944	0	500	56	0	0.944
0.61	944	0	500	56	0	0.944
0.615	942	0	500	58	0	0.942
0.62	942	0	500	58	0	0.942
0.625	939	0	500	61	0	0.939
0.63	937	0	500	63	0	0.937
0.635	934	0	500	66	0	0.934
0.64	934	0	500	66	0	0.934
0.645	933	0	500	67	0	0.933
0.65	929	0	500	71	0	0.929
0.655	927	0	500	73	0	0.927
0.66	927	0	500	73	0	0.927
0.665	915	0	500	85	0	0.915
0.67	913	0	500	87	0	0.913
0.675	908	0	500	92	0	0.908
0.68	905	0	500	95	0	0.905
0.685	905	0	500	95	0	0.905
0.69	903	0	500	97	0	0.903
0.695	901	0	500	99	0	0.901
0.7	899	0	500	101	0	0.899
0.705	898	0	500	102	0	0.898
0.71	896	0	500	104	0	0.896
0.715	890	0	500	110	0	0.89
0.72	888	0	500	112	0	0.888
0.725	885	0	500	115	0	0.885
0.73	879	0	500	121	0	0.879
0.735	874	0	500	126	0	0.874
0.74	868	0	500	132	0	0.868
0.745	865	0	500	135	0	0.865
0.75	858	0	500	142	0	0.858
0.755	855	0	500	145	0	0.855
0.76	851	0	500	149	0	0.851
0.765	847	0	500	153	0	0.847
0.77	840	0	500	160	0	0.84
0.775	832	0	500	168	0	0.832
0.78	830	0	500	170	0	0.83
0.785	823	0	500	177	0	0.823
0.79	819	0	500	181	0	0.819
0.795	814	0	500	186	0	0.814
0.8	810	0	500	190	0	0.81
0.805	805	0	500	195	0	0.805
0.81	802	0	500	198	0	0.802
0.815	798	0	500	202	0	0.798
0.82	791	0	500	209	0	0.791
0.825	784	0	500	216	0	0.784
0.83	783	0	500	217	0	0.783
0.835	779	0	500	221	0	0.779
0.84	776	0	500	224	0	0.776
0.845	770	0	500	230	0	0.77
0.85	763	0	500	237	0	0.763
0.855	758	0	500	242	0	0.758
0.86	750	0	500	250	0	0.75
0.865	747	0	500	253	0	0.747
0.87	744	0	500	256	0	0.744
0.875	739	0	500	261	0	0.739
0.88	731	0	500	269	0	0.731
0.885	723	0	500	277	0	0.723
0.89	713	0	500	287	0	0.713
0.895	704	0	500	296	0	0.704
0.9	699	0	500	301	0	0.699
0.905	690	0	500	310	0	0.69
0.91	681	0	500	319	0	0.681
0.915	660	0	500	340	0	0.66
0.92	649	0	500	351	0	0.649
0.925	633	0	500	367	0	0.633
0.93	622	0	500	378	0	0.622
0.935	608	0	500	392	0	0.608
0.94	597	0	500	403	0	0.597
0.945	585	0	500	415	0	0.585
0.95	575	0	500	425	0	0.575
0.955	562	0	500	438	0	0.562
0.96	551	0	500	449	0	0.551
0.965	536	0	500	464	0	0.536
0.97	526	0	500	474	0	0.526
0.975	514	0	500	486	0	0.514
0.98	502	0	500	498	0	0.502
0.985	488	0	500	512	0	0.488
0.99	478	0	500	522	0	0.478
0.995	460	0	500	540	0	0.46
1	452	0	500	548	0	0.452
1.005	440	0	500	560	0	0.44
1.01	428	0	500	572	0	0.428
1.015	422	0	500	578	0	0.422
1.02	412	0	500	588	0	0.412
1.025	403	0	500	597	0	0.403
1.03	393	0	500	607	0	0.393
1.035	376	0	500	624	0	0.376
1.04	360	0	500	640	0	0.36
1.045	350	0	500	650	0	0.35
1.05	334	0	500	666	0	0.334
1.055	323	0	500	677	0	0.323
1.06	307	0	500	693	0	0.307
1.065	296	0	500	704	0	0.296
1.07	279	0	500	721	0	0.279
1.075	266	0	500	734	0	0.266
1.08	253	0	500	747	0	0.253
1.085	242	0	500	758	0	0.242
1.09	231	0	500	769	0	0.231
1.095	223	0	500	777	0	0.223
1.1	204	0	500	796	0	0.204
1.105	191	0	500	809	0	0.191
1.11	179	0	500	821	0	0.179
1.115	170	0	500	830	0	0.17
1.12	160	0	500	840	0	0.16
1.125	143	0	500	857	0	0.143
1.13	134	0	500	866	0	0.134
1.135	129	0	500	871	0	0.129
1.14	119	0	500	881	0	0.119
1.145	116	0	500	884	0	0.116
1.15	109	0	500	891	0	0.109
1.155	102	0	500	898	0	0.102
1.16	91	0	500	909	0	0.091
1.165	84	0	500	916	0	0.084
1.17	76	0	500	924	0	0.076
1.175	66	0	500	934	0	0.066
1.18	63	0	500	937	0	0.063
1.185	57	0	500	943	0	0.057
1.19	52	0	500	948	0	0.052
1.195	50	0	500	950	0	0.05
1.2	42	0	500	958	0	0.042
1.205	37	0	500	963	0	0.037
1.21	34	0	500	966	0	0.034
1.215	32	0	500	968	0	0.032
1.22	26	0	500	974	0	0.026
1.225	24	0	500	976	0	0.024
1.23	20	0	500	980	0	0.02
1.235	17	0	500	983	0	0.017
1.24	15	0	500	985	0	0.015
1.245	12	0	500	988	0	0.012
1.25	10	0	500	990	0	0.01
1.255	9	0	500	991	0	0.009
1.26	8	0	500	992	0	0.008
1.265	4	0	500	996	0	0.004
1.27	3	0	500	997	0	0.003
1.275	3	0	500	997	0	0.003
1.28	3	0	500	997	0	0.003
1.285	2	0	500	998	0	0.002
1.29	2	0	500	998	0	0.002
1.295	1	0	500	999	0	0.001
1.3	1	0	500	999	0	0.001
1.305	1	0	500	999	0	0.001
1.31	0	0	500	1000	0	0
1.315	0	0	500	1000	0	0
1.32	0	0	500	1000	0	0
1.325	0	0	500	1000	0	0
1.33	0	0	500	1000	0	0
1.335	0	0	500	1000	0	0
1.34	0	0	500	1000	0	0
1.345	0	0	500	1000	0	0
1.35	0	0	500	1000	0	0
1.355	0	0	500	1000	0	0
1.36	0	0	500	1000	0	0
1.365	0	0	500	1000	0	0
1.37	0	0	500	1000	0	0
1.375	0	0	500	1000	0	0
1.38	0	0	500	1000	0	0
1.385	0	0	500	1000	0	0
1.39	0	0	500	1000	0	0
1.395	0	0	500	1000	0	0
1.4	0	0	500	1000	0	0
1.405	0	0	500	1000	0	0
1.41	0	0	500	1000	0	0
1.415	0	0	500	1000	0	0
1.42	0	0	500	1000	0	0
1.425	0	0	500	1000	0	0
1.43	0	0	500	1000	0	0
1.435	0	0	500	1000	0	0
