cutoff	True.pos	False.pos	True.neg	False.neg	False.pos.rate	True.pos.rate
-0.5	1000	500	0	0	1	1
-0.495	1000	500	0	0	1	1
-0.49	1000	500	0	0	1	1
-0.485	1000	500	0	0	1	1
-0.48	1000	500	0	0	1	1
-0.475	1000	500	0	0	1	1
-0.47	1000	500	0	0	1	1
-0.465	1000	500	0	0	1	1
-0.46	1000	500	0	0	1	1
-0.455	1000	500	0	0	1	1
-0.45	1000	500	0	0	1	1
-0.445	1000	500	0	0	1	1
-0.44	1000	500	0	0	1	1
-0.435	1000	500	0	0	1	1
-0.43	1000	500	0	0	1	1
-0.425	1000	500	0	0	1	1
-0.42	1000	500	0	0	1	1
-0.415	1000	500	0	0	1	1
-0.41	1000	500	0	0	1	1
-0.405	1000	500	0	0	1	1
-0.4	1000	500	0	0	1	1
-0.395	1000	500	0	0	1	1
-0.39	1000	500	0	0	1	1
-0.385	1000	500	0	0	1	1
-0.38	1000	500	0	0	1	1
-0.375	1000	500	0	0	1	1
-0.37	1000	500	0	0	1	1
-0.365	1000	500	0	0	1	1
-0.36	1000	500	0	0	1	1
-0.355	1000	500	0	0	1	1
-0.35	1000	500	0	0	1	1
-0.345	1000	500	0	0	1	1
-0.34	1000	500	0	0	1	1
-0.335	1000	500	0	0	1	1
-0.33	1000	500	0	0	1	1
-0.325	1000	500	0	0	1	1
-0.32	1000	500	0	0	1	1
-0.315	1000	500	0	0	1	1
-0.31	1000	500	0	0	1	1
-0.305	1000	500	0	0	1	1
-0.3	1000	500	0	0	1	1
-0.295	1000	500	0	0	1	1
-0.29	1000	500	0	0	1	1
-0.285	1000	500	0	0	1	1
-0.28	1000	500	0	0	1	1
-0.275	1000	500	0	0	1	1
-0.27	1000	500	0	0	1	1
-0.265	1000	500	0	0	1	1
-0.26	1000	500	0	0	1	1
-0.255	1000	500	0	0	1	1
-0.25	1000	500	0	0	1	1
-0.245	1000	500	0	0	1	1
-0.24	1000	500	0	0	1	1
-0.235	1000	500	0	0	1	1
-0.23	1000	500	0	0	1	1
-0.225	1000	500	0	0	1	1
-0.22	1000	500	0	0	1	1
-0.215	1000	500	0	0	1	1
-0.21	1000	500	0	0	1	1
-0.205	1000	500	0	0	1	1
-0.2	1000	500	0	0	1	1
-0.195	1000	500	0	0	1	1
-0.19	1000	500	0	0	1	1
-0.185	1000	500	0	0	1	1
-0.18	1000	500	0	0	1	1
-0.175	1000	500	0	0	1	1
-0.17	1000	500	0	0	1	1
-0.165	1000	500	0	0	1	1
-0.16	1000	500	0	0	1	1
-0.155	1000	500	0	0	1	1
-0.15	1000	500	0	0	1	1
-0.145	1000	500	0	0	1	1
-0.14	1000	500	0	0	1	1
-0.135	1000	500	0	0	1	1
-0.13	1000	500	0	0	1	1
-0.125	1000	500	0	0	1	1
-0.12	1000	500	0	0	1	1
-0.115	1000	500	0	0	1	1
-0.11	1000	500	0	0	1	1
-0.105	1000	500	0	0	1	1
-0.1	1000	500	0	0	1	1
-0.095	1000	500	0	0	1	1
-0.09	1000	500	0	0	1	1
-0.085	1000	500	0	0	1	1
-0.08	1000	500	0	0	1	1
-0.075	1000	500	0	0	1	1
-0.07	1000	500	0	0	1	1
-0.065	1000	500	0	0	1	1
-0.06	1000	500	0	0	1	1
-0.055	1000	500	0	0	1	1
-0.05	1000	500	0	0	1	1
-0.045	1000	500	0	0	1	1
-0.04	1000	500	0	0	1	1
-0.035	1000	500	0	0	1	1
-0.03	1000	500	0	0	1	1
-0.025	1000	500	0	0	1	1
-0.02	1000	500	0	0	1	1
-0.015	1000	500	0	0	1	1
-0.01	1000	500	0	0	1	1
-0.005	1000	500	0	0	1	1
0	1000	500	0	0	1	1
0.005	1000	500	0	0	1	1
0.01	1000	500	0	0	1	1
0.015	1000	500	0	0	1	1
0.02	999	276	224	1	0.552	0.999
0.025	999	276	224	1	0.552	0.999
0.03	999	275	225	1	0.55	0.999
0.035	999	273	227	1	0.546	0.999
0.04	999	273	227	1	0.546	0.999
0.045	999	271	229	1	0.542	0.999
0.05	999	270	230	1	0.54	0.999
0.055	999	268	232	1	0.536	0.999
0.0600000000000001	999	264	236	1	0.528	0.999
0.0650000000000001	999	264	236	1	0.528	0.999
0.0700000000000001	999	263	237	1	0.526	0.999
0.0750000000000001	999	262	238	1	0.524	0.999
0.08	999	259	241	1	0.518	0.999
0.085	999	253	247	1	0.506	0.999
0.09	999	251	249	1	0.502	0.999
0.095	999	249	251	1	0.498	0.999
0.1	999	247	253	1	0.494	0.999
0.105	999	243	257	1	0.486	0.999
0.11	999	238	262	1	0.476	0.999
0.115	999	233	267	1	0.466	0.999
0.12	999	229	271	1	0.458	0.999
0.125	999	222	278	1	0.444	0.999
0.13	999	213	287	1	0.426	0.999
0.135	999	208	292	1	0.416	0.999
0.14	999	199	301	1	0.398	0.999
0.145	999	191	309	1	0.382	0.999
0.15	999	187	313	1	0.374	0.999
0.155	999	185	315	1	0.37	0.999
0.16	999	179	321	1	0.358	0.999
0.165	999	175	325	1	0.35	0.999
0.17	999	169	331	1	0.338	0.999
0.175	999	161	339	1	0.322	0.999
0.18	999	158	342	1	0.316	0.999
0.185	997	156	344	3	0.312	0.997
0.19	997	156	344	3	0.312	0.997
0.195	993	48	452	7	0.096	0.993
0.2	992	47	453	8	0.094	0.992
0.205	992	46	454	8	0.092	0.992
0.21	992	45	455	8	0.09	0.992
0.215	992	45	455	8	0.09	0.992
0.22	992	43	457	8	0.086	0.992
0.225	992	43	457	8	0.086	0.992
0.23	992	42	458	8	0.084	0.992
0.235	992	41	459	8	0.082	0.992
0.24	992	40	460	8	0.08	0.992
0.245	992	37	463	8	0.074	0.992
0.25	992	35	465	8	0.07	0.992
0.255	992	33	467	8	0.066	0.992
0.26	992	31	469	8	0.062	0.992
0.265	991	30	470	9	0.06	0.991
0.27	991	30	470	9	0.06	0.991
0.275	991	27	473	9	0.054	0.991
0.28	991	24	476	9	0.048	0.991
0.285	991	22	478	9	0.044	0.991
0.29	991	20	480	9	0.04	0.991
0.295	991	20	480	9	0.04	0.991
0.3	991	20	480	9	0.04	0.991
0.305	991	19	481	9	0.038	0.991
0.31	991	16	484	9	0.032	0.991
0.315	991	15	485	9	0.03	0.991
0.32	991	12	488	9	0.024	0.991
0.325	991	9	491	9	0.018	0.991
0.33	991	9	491	9	0.018	0.991
0.335	991	7	493	9	0.014	0.991
0.34	991	5	495	9	0.01	0.991
0.345	990	1	499	10	0.002	0.99
0.35	990	0	500	10	0	0.99
0.355	990	0	500	10	0	0.99
0.36	990	0	500	10	0	0.99
0.365	989	0	500	11	0	0.989
0.37	988	0	500	12	0	0.988
0.375	988	0	500	12	0	0.988
0.38	988	0	500	12	0	0.988
0.385	988	0	500	12	0	0.988
0.39	988	0	500	12	0	0.988
0.395	987	0	500	13	0	0.987
0.4	987	0	500	13	0	0.987
0.405	987	0	500	13	0	0.987
0.41	987	0	500	13	0	0.987
0.415	987	0	500	13	0	0.987
0.42	986	0	500	14	0	0.986
0.425	984	0	500	16	0	0.984
0.43	984	0	500	16	0	0.984
0.435	984	0	500	16	0	0.984
0.44	984	0	500	16	0	0.984
0.445	984	0	500	16	0	0.984
0.45	984	0	500	16	0	0.984
0.455	984	0	500	16	0	0.984
0.46	982	0	500	18	0	0.982
0.465	981	0	500	19	0	0.981
0.47	981	0	500	19	0	0.981
0.475	980	0	500	20	0	0.98
0.48	979	0	500	21	0	0.979
0.485	977	0	500	23	0	0.977
0.49	976	0	500	24	0	0.976
0.495	975	0	500	25	0	0.975
0.5	975	0	500	25	0	0.975
0.505	974	0	500	26	0	0.974
0.51	973	0	500	27	0	0.973
0.515	972	0	500	28	0	0.972
0.52	971	0	500	29	0	0.971
0.525	969	0	500	31	0	0.969
0.53	969	0	500	31	0	0.969
0.535	969	0	500	31	0	0.969
0.54	967	0	500	33	0	0.967
0.545	965	0	500	35	0	0.965
0.55	964	0	500	36	0	0.964
0.555	963	0	500	37	0	0.963
0.56	962	0	500	38	0	0.962
0.565	961	0	500	39	0	0.961
0.57	959	0	500	41	0	0.959
0.575	959	0	500	41	0	0.959
0.58	957	0	500	43	0	0.957
0.585	953	0	500	47	0	0.953
0.59	951	0	500	49	0	0.951
0.595	949	0	500	51	0	0.949
0.6	945	0	500	55	0	0.945
0.605	943	0	500	57	0	0.943
0.61	942	0	500	58	0	0.942
0.615	939	0	500	61	0	0.939
0.62	938	0	500	62	0	0.938
0.625	938	0	500	62	0	0.938
0.63	934	0	500	66	0	0.934
0.635	934	0	500	66	0	0.934
0.64	931	0	500	69	0	0.931
0.645	931	0	500	69	0	0.931
0.65	930	0	500	70	0	0.93
0.655	927	0	500	73	0	0.927
0.66	925	0	500	75	0	0.925
0.665	924	0	500	76	0	0.924
0.67	921	0	500	79	0	0.921
0.675	920	0	500	80	0	0.92
0.68	919	0	500	81	0	0.919
0.685	918	0	500	82	0	0.918
0.69	915	0	500	85	0	0.915
0.695	915	0	500	85	0	0.915
0.7	912	0	500	88	0	0.912
0.705	910	0	500	90	0	0.91
0.71	904	0	500	96	0	0.904
0.715	900	0	500	100	0	0.9
0.72	894	0	500	106	0	0.894
0.725	891	0	500	109	0	0.891
0.73	887	0	500	113	0	0.887
0.735	883	0	500	117	0	0.883
0.74	877	0	500	123	0	0.877
0.745	874	0	500	126	0	0.874
0.75	866	0	500	134	0	0.866
0.755	859	0	500	141	0	0.859
0.76	858	0	500	142	0	0.858
0.765	851	0	500	149	0	0.851
0.77	849	0	500	151	0	0.849
0.775	839	0	500	161	0	0.839
0.78	834	0	500	166	0	0.834
0.785	831	0	500	169	0	0.831
0.79	825	0	500	175	0	0.825
0.795	817	0	500	183	0	0.817
0.8	808	0	500	192	0	0.808
0.805	804	0	500	196	0	0.804
0.81	799	0	500	201	0	0.799
0.815	794	0	500	206	0	0.794
0.82	793	0	500	207	0	0.793
0.825	780	0	500	220	0	0.78
0.83	773	0	500	227	0	0.773
0.835	766	0	500	234	0	0.766
0.84	758	0	500	242	0	0.758
0.845	756	0	500	244	0	0.756
0.85	751	0	500	249	0	0.751
0.855	740	0	500	260	0	0.74
0.86	733	0	500	267	0	0.733
0.865	724	0	500	276	0	0.724
0.87	720	0	500	280	0	0.72
0.875	715	0	500	285	0	0.715
0.88	704	0	500	296	0	0.704
0.885	700	0	500	300	0	0.7
0.89	693	0	500	307	0	0.693
0.895	683	0	500	317	0	0.683
0.9	675	0	500	325	0	0.675
0.905	670	0	500	330	0	0.67
0.91	663	0	500	337	0	0.663
0.915	655	0	500	345	0	0.655
0.92	647	0	500	353	0	0.647
0.925	643	0	500	357	0	0.643
0.93	631	0	500	369	0	0.631
0.935	624	0	500	376	0	0.624
0.94	611	0	500	389	0	0.611
0.945	602	0	500	398	0	0.602
0.95	598	0	500	402	0	0.598
0.955	586	0	500	414	0	0.586
0.96	569	0	500	431	0	0.569
0.965	555	0	500	445	0	0.555
0.97	545	0	500	455	0	0.545
0.975	537	0	500	463	0	0.537
0.98	524	0	500	476	0	0.524
0.985	511	0	500	489	0	0.511
0.99	498	0	500	502	0	0.498
0.995	490	0	500	510	0	0.49
1	469	0	500	531	0	0.469
1.005	466	0	500	534	0	0.466
1.01	455	0	500	545	0	0.455
1.015	445	0	500	555	0	0.445
1.02	435	0	500	565	0	0.435
1.025	421	0	500	579	0	0.421
1.03	406	0	500	594	0	0.406
1.035	393	0	500	607	0	0.393
1.04	379	0	500	621	0	0.379
1.045	371	0	500	629	0	0.371
1.05	361	0	500	639	0	0.361
1.055	344	0	500	656	0	0.344
1.06	329	0	500	671	0	0.329
1.065	315	0	500	685	0	0.315
1.07	301	0	500	699	0	0.301
1.075	286	0	500	714	0	0.286
1.08	271	0	500	729	0	0.271
1.085	258	0	500	742	0	0.258
1.09	251	0	500	749	0	0.251
1.095	238	0	500	762	0	0.238
1.1	226	0	500	774	0	0.226
1.105	215	0	500	785	0	0.215
1.11	200	0	500	800	0	0.2
1.115	193	0	500	807	0	0.193
1.12	186	0	500	814	0	0.186
1.125	176	0	500	824	0	0.176
1.13	163	0	500	837	0	0.163
1.135	156	0	500	844	0	0.156
1.14	144	0	500	856	0	0.144
1.145	132	0	500	868	0	0.132
1.15	121	0	500	879	0	0.121
1.155	108	0	500	892	0	0.108
1.16	101	0	500	899	0	0.101
1.165	96	0	500	904	0	0.096
1.17	82	0	500	918	0	0.082
1.175	75	0	500	925	0	0.075
1.18	71	0	500	929	0	0.071
1.185	59	0	500	941	0	0.059
1.19	57	0	500	943	0	0.057
1.195	49	0	500	951	0	0.049
1.2	46	0	500	954	0	0.046
1.205	43	0	500	957	0	0.043
1.21	35	0	500	965	0	0.035
1.215	33	0	500	967	0	0.033
1.22	29	0	500	971	0	0.029
1.225	26	0	500	974	0	0.026
1.23	23	0	500	977	0	0.023
1.235	22	0	500	978	0	0.022
1.24	19	0	500	981	0	0.019
1.245	17	0	500	983	0	0.017
1.25	16	0	500	984	0	0.016
1.255	15	0	500	985	0	0.015
1.26	14	0	500	986	0	0.014
1.265	14	0	500	986	0	0.014
1.27	14	0	500	986	0	0.014
1.275	12	0	500	988	0	0.012
1.28	12	0	500	988	0	0.012
1.285	11	0	500	989	0	0.011
1.29	11	0	500	989	0	0.011
1.295	11	0	500	989	0	0.011
1.3	10	0	500	990	0	0.01
1.305	9	0	500	991	0	0.009
1.31	8	0	500	992	0	0.008
1.315	8	0	500	992	0	0.008
1.32	8	0	500	992	0	0.008
1.325	8	0	500	992	0	0.008
1.33	4	0	500	996	0	0.004
1.335	3	0	500	997	0	0.003
1.34	2	0	500	998	0	0.002
1.345	2	0	500	998	0	0.002
1.35	1	0	500	999	0	0.001
1.355	0	0	500	1000	0	0
1.36	0	0	500	1000	0	0
1.365	0	0	500	1000	0	0
1.37	0	0	500	1000	0	0
1.375	0	0	500	1000	0	0
1.38	0	0	500	1000	0	0
1.385	0	0	500	1000	0	0
1.39	0	0	500	1000	0	0
1.395	0	0	500	1000	0	0
1.4	0	0	500	1000	0	0
1.405	0	0	500	1000	0	0
1.41	0	0	500	1000	0	0
1.415	0	0	500	1000	0	0
1.42	0	0	500	1000	0	0
